Inactive,Street
Yes,0.007 W/O CHERRY
Yes,0.010 S/O SSR 180 (CUL-DE-SAC)
Yes,0.010 W/O HUGHES
Yes,0.016 S/O CALIFORNIA
Yes,0.019 N/O IOWA
Yes,0.020 E/O BUSH (C.L.)
Yes,0.020 N/O FOUNTAIN WAY (C.L.)
Yes,0.020 N/O PALO ALTO (C.L.)
Yes,0.020 N/O PRINCETON (C.L.)
Yes,0.020 S/O BARSTOW (C.L.)
Yes,0.020 S/O CALIMYRNA (C.L.)
Yes,0.020 W/O FERGER (C.L.)
Yes,0.020 W/O GRANTLAND
Yes,0.020 W/O VILLA (FRESNO C.L.)
Yes,0.021 N/O TURNER
Yes,0.022 S/O C-399
Yes,0.023 S/O HARVEY
Yes,0.023 W/O NEWMARK (SANGER C.L.)
Yes,0.025 S/O ASHLAN (C.L.)
Yes,0.025 S/O CALIFORNIA
Yes,0.028 E/O ELM
Yes,0.028 S/O SHAW
Yes,0.028 S/O TOWNSEND
Yes,0.029 N/O WELDON (C.L.)
Yes,0.029 S/O SHIELDS (C.L.)
Yes,0.03 N/O KADOTA
Yes,0.030 E/O DOCKERY (SELMA C.L.)
Yes,0.030 E/O ELEVENTH (C.L.)
Yes,0.030 E/O RIO VISTA (CUL-DE-SAC)
Yes,0.030 E/O SAFFORD (C.L.)
Yes,0.030 E/O SUNNYSIDE (CLOVIS C.L.)
Yes,0.030 N/O C-400
Yes,0.030 N/O PALO ALTO (C.L.)
Yes,0.030 N/O ROBERTS (C.L.)
Yes,0.030 N/O TURNER
Yes,0.030 S/O ADAMS (OR. COVE C.L.)
Yes,0.030 S/O HARVEY
Yes,0.030 S/O PARLIER
Yes,0.030 S/O PAUL (C.L.)
Yes,0.030 S/O PONTIAC (C.L.)
Yes,0.030 S/O SWIFT (C.L.)
Yes,0.030 S/O TWAIN (C.L.)
Yes,0.030 S/O WASHINGTON
Yes,0.030 SE/O OF HEARTWOOD
Yes,0.030 W/O CHANNING (C.L.)
Yes,0.030 W/O DEE ANN (C.L.)
Yes,0.030 W/O DEL MAR (C.L.)
Yes,0.030 W/O EDDY (CLOVIS C.L.)
Yes,0.030 W/O FERGER (C.L.)
Yes,0.030 W/O NORRIS DR. (C.L.)
Yes,0.030 W/O SUNNYSIDE (C.L.)
Yes,0.030 W/O VAGEDES (C.L.)
Yes,0.030 W/O WILSON (C.L.)
Yes,0.031 N/O ESCALON (C.L.)
Yes,0.033 S/O LANSING
Yes,0.037 N/O TURNER
Yes,0.038 W/O VAN NESS (C.L.)
Yes,0.04 E/O PHILLIP
Yes,0.04 E/O SUNNYSIDE (CLOVIS C.L.)
Yes,0.04 E/O ZEDIKER ALIGN(CUL-DE-SAC)
Yes,0.040 E/O ELM
Yes,0.040 E/O SAFFORD (C.L.)
Yes,0.040 E/O SSR 41
Yes,0.040 N/O SHAW
Yes,0.040 NW/O BONANZA
Yes,0.040 S/O BLAINE (C.L.)
Yes,0.040 S/O BLAINE(C.L.)
Yes,0.040 S/O GETTYSBURG (C.L.)
Yes,0.040 S/O KEATS (C.L.)
Yes,0.040 S/O PARKWAY DRIVE
Yes,0.040 S/O VARTIKIAN (C.L.)
Yes,0.040 W/O BLYTHE
Yes,0.040 W/O BRIARWOOD (C.L.)
Yes,0.040 W/O ROWELL (C.L.)
Yes,0.042 E/O MINNEWAWA (FRESNO C.L.)
Yes,0.047 E/O ELM
Yes,0.047 S/O NORTH
Yes,0.048 S/O C-401
Yes,0.050  W/O GOLDEN STATE (KINGS. C.L
Yes,0.050 E/O CEDAR (C.L.)
Yes,0.050 E/O HARRISON (C.L.)
Yes,0.050 E/O PULLMAN (C.L.)
Yes,0.050 E/O WALLING (C.L.)
Yes,0.050 N/O SSR 180 (CUL-DE-SAC)
Yes,0.050 S/O COLUMBIA DR (C.L.)
Yes,0.050 S/O WASHINGTON (C.L.)
Yes,0.050 W/O BUTTE
Yes,0.051 E/O BRAWLEY
Yes,0.051 W/O CHERRY
Yes,0.052 S/O WAWONA
Yes,0.054 E/O LEWIS LN (SANGER C.L.)
Yes,0.056 N/O SSR 180
Yes,0.057 N/O DINUBA
Yes,0.057 N/O MENLO
Yes,0.057 N/O PARLIER
Yes,0.057 N/O TURNER
Yes,0.058 N/O TURNER
Yes,0.059 N/O CONEJO
Yes,0.059 S/O LOST LAKE
Yes,0.06 W/O POLK
Yes,0.060 E/O GLENN (C.L.)
Yes,0.060 E/O MINNEWAWA
Yes,0.060 N/O ASHLAN
Yes,0.060 N/O MONTECITO (C.L.)
Yes,0.060 N/O SHIELDS (C.L.)
Yes,0.060 N/O SIERRA
Yes,0.060 N/O TULARE
Yes,0.060 N/O TYLER (C.L.)
Yes,0.060 N/O TYLER (FRESNO C.L.)
Yes,0.060 S/O MC KENZIE (C.L.)
Yes,0.060 S/O MONTECITO (C.L.)
Yes,0.060 S/O MORTON
Yes,0.060 S/O NEBRASKA
Yes,0.060 S/O SWIFT (C.L.)
Yes,0.060 SE/O JAMES RD
Yes,0.060 W/O VALENTINE
Yes,0.061 N/O CELESTE
Yes,0.061 W/O BRAWLEY
Yes,0.062 E/O ELM
Yes,0.062 W/O SONORA (C.L.)
Yes,0.063 N/O KAMM
Yes,0.063 W/O CHERRY
Yes,0.064  E/O WARD
Yes,0.064 W/O WESTERN
Yes,0.066 E/O PULLMAN
Yes,0.067 S/O MESA (C.L.)
Yes,0.068 S/O SHIELDS
Yes,0.068 W/O BETHEL
Yes,0.069 E/O ELM
Yes,0.069 W/O GRANTLAND
Yes,0.070 E/O HULBERT (C.L.)
Yes,0.070 N/O PALO ALTO (C.L.)
Yes,0.070 N/O PARK CIRCLE (C.L.)
Yes,0.070 S/O HARVARD (C.L.)
Yes,0.070 S/O KEATS (C.L.)
Yes,0.070 S/O LINCOLN
Yes,0.070 S/O PAUL (C.L.)
Yes,0.070 W/O CHERRY
Yes,0.070 W/O PULLMAN (C.L.)
Yes,0.071 E/O ACADEMY (C.L.)
Yes,0.072 W/O WYATT
Yes,0.075 E/O ELM
Yes,0.075 S/O BIRCH (C.L.)
Yes,0.078 W/O CHERRY
Yes,0.08 E/O WALLING (C.L.)
Yes,0.080 E/O GLENN (C.L.)
Yes,0.080 E/O WILLOW
Yes,0.080 N/O LONE OAK(CUL-DE-SAC)
Yes,0.080 N/O PAUL (C.L.)
Yes,0.080 S/O ASHLAN (C.L.)
Yes,0.080 S/O SAN RAMON (C.L.)
Yes,0.080 S/O WILLOW (FRESNO C.L.)
Yes,0.080 W/O WILSON (C.L.)
Yes,0.081 W/O YOLO
Yes,0.083 E/O SSR 41
Yes,0.087 W/O SSR 41
Yes,0.090 E/O BAGLEY
Yes,0.090 E/O WALLING (FRESNO C.L.)
Yes,0.090 N/O BELMONT
Yes,0.090 N/O MALAGA (C.L.)
Yes,0.090 N/O PIEDRA
Yes,0.090 SE/O DE WOODY
Yes,0.090 W/O DE WITT (C.L.)
Yes,0.095 N/O MC KINLEY
Yes,0.095 N/O PALO ALTO (C.L.)
Yes,0.095 S/O MC KINLEY
Yes,0.097 N/O CHURCH
Yes,0.100 E/O HARRISON (C.L.)
Yes,0.100 N/O FAIRMONT (C.L.)
Yes,0.100 N/O SANTA ANA (C.L.)
Yes,0.100 N/O SHAW (C.L.)
Yes,0.100 NW/O SSR 180
Yes,0.100 S/O AMERICAN
Yes,0.100 S/O DINUBA
Yes,0.100 S/O MAGNOLIA
Yes,0.100 S/O MUSCAT
Yes,0.100 W/O MARKS
Yes,0.100 W/O SYCAMORE
Yes,0.102 W/O HEATON (C.L.)
Yes,0.102 W/O VILLA
Yes,0.103 S/O JENSEN
Yes,0.11 W/O ELKHORN GRADE
Yes,0.110 E/O FOWLER
Yes,0.110 E/O MINNEWAWA (C.L.)
Yes,0.110 E/O SQUAW VALLEY RD
Yes,0.110 N/O CLINTON
Yes,0.110 N/O DAKOTA (C.L.)
Yes,0.110 N/O HARVEY
Yes,0.110 W/O BRAWLEY
Yes,0.114 S/O SHIELDS (C.L.)
Yes,0.114 W/O MONROE
Yes,0.115 W/O SANTA FE GRADE
Yes,0.116 N/O BULLARD
Yes,0.120 E/O KAVANAGH (C.L.)
Yes,0.120 E/O MACDONOUGH
Yes,0.120 E/O WILSON
Yes,0.120 N/O SHAW (C.L.)
Yes,0.120 S/O PARLIER (REEDLEY C.L.)
Yes,0.120 W/O CORNELIA
Yes,0.120 W/O HARVARD/ROWELL
Yes,0.124 E/O WALNUT (KNIGHT)
Yes,0.125 E/O LOCAN
Yes,0.125 E/O PEACH
Yes,0.125 E/O PHILLIP
Yes,0.125 E/O VALENTINE
Yes,0.125 N/O CALIFORNIA
Yes,0.125 N/O CHURCH
Yes,0.125 N/O MC KINLEY
Yes,0.125 S/O CARUTHERS
Yes,0.125 S/O CLAYTON
Yes,0.125 S/O CLINTON
Yes,0.125 S/O MANNING
Yes,0.125 S/O MUSCAT
Yes,0.125 W/O FOWLER
Yes,0.125 W/O MARKS
Yes,0.125 W/O WEST
Yes,0.126 N/O CLINTON
Yes,0.126 S/O MANNING
Yes,0.126 W/O MC CALL
Yes,0.127 E/O BAILEY
Yes,0.127 E/O ELM
Yes,0.127 E/O FOWLER
Yes,0.128 E/O FOWLER
Yes,0.128 S/O HERNDON
Yes,0.129 N/O SSR 180
Yes,0.13 E/O PEACH
Yes,0.130 E/O ACADEMY
Yes,0.130 E/O PEACH
Yes,0.130 N/O CALIFORNIA (C.L)
Yes,0.130 N/O DAKOTA (C.L.)
Yes,0.130 N/O MC KINLEY
Yes,0.130 N/O MC KINLEY (C.L.)
Yes,0.130 N/O NEES
Yes,0.130 N/O SANTA ANA (C.L.)
Yes,0.130 S/O FRANKLIN (FRESNO C.L.)
Yes,0.130 S/O PLATT (C.L.)
Yes,0.133 E/O SUNNYSIDE
Yes,0.133 W/O MINNEWAWA (FRESNO C.L.)
Yes,0.135 E/O MC CALL
Yes,0.136 N/W SAN DIEGO
Yes,0.138 W/O ACADEMY (KNGSBURG C.L.)
Yes,0.140 N/O WHITESBRIDGE
Yes,0.140 S/O COLEMAN
Yes,0.141 W/O SSR 145
Yes,0.142 N/O IOWA
Yes,0.144 S/O CALIFORNIA
Yes,0.146 S/O CO LINE (TULARE)
Yes,0.147 E/O CHESTNUT ALIGN
Yes,0.150 E/O DEL MAR (C.L.)
Yes,0.150 S/O ADAMS
Yes,0.150 S/O JENSEN
Yes,0.150 S/O STROUD (KINGSBURG C.L.)
Yes,0.150 W/O LEONARD
Yes,0.150 W/O MARKS
Yes,0.152 N/O MT WHITNEY
Yes,0.152 W/O ARMSTRONG
Yes,0.152 W/O TEMPERANCE
Yes,0.155 S/O CHICO
Yes,0.160 E/O ACADEMY
Yes,0.160 E/O BAGLEY
Yes,0.160 N/O BELMONT
Yes,0.160 W/O BOND (C.L.)
Yes,0.165 E/O FOWLER
Yes,0.167 W/O CLOVIS
Yes,0.170 N/O COLE
Yes,0.170 S/O DAKOTA (CLOVIS
Yes,0.170 S/O DAKOTA (CLOVIS C.L.)
Yes,0.177 E/O ELM
Yes,0.178 E/O CO LINE (TULARE)
Yes,0.180 E/O FRANKWOOD
Yes,0.180 E/O LOCAN
Yes,0.180 S/O BROWNING (C.L.)
Yes,0.180 S/O CLARKSON
Yes,0.180 S/O HARVEY (C.L.)
Yes,0.180 W/O SAFFORD (C.L.)
Yes,0.180 W/O SAN MATEO
Yes,0.183 W/O HAYES
Yes,0.183 W/O I-5
Yes,0.184 N/O BARSTOW
Yes,0.184 N/O NEES
Yes,0.186 W/O VALENTINE
Yes,0.187 E/O CHESTNUT
Yes,0.188 N/O DAKOTA
Yes,0.189 E/O I-5
Yes,0.190 S/O COLEMAN
Yes,0.190 W/O DELNO (C.L.)
Yes,0.190 W/O HELM (C.L.)
Yes,0.192 S/O SOUTH (REEDLEY C.L.)
Yes,0.192 W/O MADSEN (C.L.)
Yes,0.192 W/O TUOLUMNE
Yes,0.196 E/O DOCKERY ALIGN
Yes,0.200 E/O BETHEL
Yes,0.200 E/O FOWLER
Yes,0.200 S/O CENTRAL
Yes,0.200 S/O NORTH (FRESNO U.L.)
Yes,0.200 SE/O MARIN
Yes,0.200 SW/O ADAMS
Yes,0.200 W/O CONTRA COSTA
Yes,0.210 N/O FLORADORA
Yes,0.210 S/O MISTLETOE RD
Yes,0.210 W/O ELM
Yes,0.210 W/O FRUIT
Yes,0.210 W/O VALENTINE
Yes,0.213 E/O SHAFT (SELMA C.L.)
Yes,0.220 E/O FOWLER
Yes,0.220 E/O SMITH
Yes,0.220 E/O THORNE (C.L.)
Yes,0.220 N/O SAN JOSE (C.L.)
Yes,0.223 W/O SSR 145 (KERMAN C.L.)
Yes,0.224 N/O LEBANON
Yes,0.225 W/O KEARNEY
Yes,0.226 S/O CENTRAL
Yes,0.226 S/O NORTH (FRESNO U.L.)
Yes,0.227 S/O ELKHORN (SSR 41
Yes,0.230 E/O CHESTNUT (C.L.)
Yes,0.230 N/O NEES
Yes,0.230 NE/O FRANKWOOD
Yes,0.230 W/O I-5
Yes,0.230 W/O WALNUT
Yes,0.238 W/O ORANGE (C.L.)
Yes,0.240 E/O BETHEL
Yes,0.240 MI. E/O BETHEL
Yes,0.240 S/O SSR 180
Yes,0.240 SW/O MOUNTAIN VIEW
Yes,0.242 N/O FLORAL
Yes,0.243 MI. E/O MENDOCINO
Yes,0.244 S/O SSR 180
Yes,0.245 S/O TULARE (C.L.)
Yes,0.246 E/O HAYES
Yes,0.246 N/O CARUTHERS
Yes,0.247 E/O OLIVER (CUL-DE-SAC)
Yes,0.247 N/O CHURCH
Yes,0.247 N/O CHURCH (C.L.)
Yes,0.247 N/O SHIELDS
Yes,0.247 S/O PARLIER (CYPRES)
Yes,0.248 E/O ACADEMY
Yes,0.248 N/O NEES
Yes,0.248 W/O ZUMWALT
Yes,0.249 E/O FRANKWOOD
Yes,0.249 E/O MC CALL
Yes,0.249 E/O SUNNYSIDE
Yes,0.249 N/O SUMNER (OR. COVE C.L.)
Yes,0.249 S/O JENSEN
Yes,0.249 S/O MANNING (REEDLEY C.L.)
Yes,0.249 S/O NORTH
Yes,0.249 S/O SUMNER (REEDLEY C.L.)
Yes,0.249 W/O CORNELIA
Yes,0.249 W/O FOWLER
Yes,0.250 E/O  INDIANOLA
Yes,0.250 E/O ALTA
Yes,0.250 E/O ANCHOR
Yes,0.250 E/O CEDAR
Yes,0.250 E/O DE WOLF
Yes,0.250 E/O FOWLER
Yes,0.250 E/O PEACH
Yes,0.250 E/O TEMPERANCE
Yes,0.250 E/O WILLOW
Yes,0.250 N/O CANAL
Yes,0.250 N/O CHURCH
Yes,0.250 N/O DAKOTA
Yes,0.250 N/O MC KINLEY
Yes,0.250 N/O MC KINLEY (C.L.)
Yes,0.250 N/O NEES
Yes,0.250 N/O NIELSEN (FRESNO C.L.)
Yes,0.250 N/O SHAW
Yes,0.250 N/O SHIELDS
Yes,0.250 S/O CLINTON (C.L.)
Yes,0.250 S/O CONEJO
Yes,0.250 S/O HUNTSMAN
Yes,0.250 S/O JAYNE
Yes,0.250 S/O KEARNEY
Yes,0.250 S/O MALAGA (FRESNO
Yes,0.250 S/O MALAGA (FRESNO C.L.)
Yes,0.250 S/O MANNING
Yes,0.250 S/O NORTH
Yes,0.250 S/O SOUTH  (FOURTH ST.)
Yes,0.250 S/O WOODS
Yes,0.250 SW/O I-5
Yes,0.250 W/O GRANTLAND
Yes,0.250 W/O HOWARD
Yes,0.250 W/O HUMBOLDT
Yes,0.250 W/O LASSEN
Yes,0.250 W/O MAPLE (C.L.)
Yes,0.250 W/O SYCAMORE
Yes,0.250 W/O TEMPERANCE
Yes,0.250 W/O TEMPERANCE (C.L.)
Yes,0.250 W/O WEST
Yes,0.251 E/0 CLOVIS
Yes,0.251 N/O CLINTON
Yes,0.251 N/O SSR 180
Yes,0.251 W/O GRANTLAND
Yes,0.251 W/O PARKWAY DRIVE
Yes,0.252 N/O INTERNATIONAL
Yes,0.252 S/O CHURCH
Yes,0.252 S/O WAWONA
Yes,0.252 W/O SISKIYOU
Yes,0.253 E/O HAYES
Yes,0.254 W/O VALENTINE
Yes,0.255 E/O TEMPERANCE
Yes,0.255 W/O TEMPERANCE
Yes,0.256 E/O TEMPERANCE
Yes,0.256 N/O SHIELDS
Yes,0.259 E/O LOCAN
Yes,0.260 S/O I-5 R/W
Yes,0.260 W/O MARKS
Yes,0.260 W/O MODOC
Yes,0.261 S/O C-401
Yes,0.262 S/O DINUBA
Yes,0.262 S/O NEES
Yes,0.264 W/O PEACH
Yes,0.266 N/O SHAW
Yes,0.270 S/O ADAMS
Yes,0.277 W/O TAHOE
Yes,0.280 N/O DE WOLF (FOWLER C.L.)
Yes,0.280 N/O SSR 180
Yes,0.281 W/O CLYDE FANNON RD (C.L.)
Yes,0.290 S/O BUTLER
Yes,0.294 W/O SSR 198
Yes,0.295 E/O ZUMWALT (TRAVERS CREEK)
Yes,0.300 E/O ACADEMY
Yes,0.300 NE/O AUBERRY MISSION RD
Yes,0.300 S/O LINCOLN
Yes,0.300 S/O MUSCAT
Yes,0.300 S/O NORTH (FRESNO U.L.)
Yes,0.303 W/O ALTA
Yes,0.305 N/O SHAW
Yes,0.309 E /O BETHEL
Yes,0.310 S/O CALIFORNIA
Yes,0.310 S/O WOODS (SANGER U.L.)
Yes,0.310 W/O VALENTINE
Yes,0.311 E/O CHESTNUT
Yes,0.311 S/O CARUTHERS
Yes,0.312 E/O VALENTINE (C.L.)
Yes,0.320 E/O ACADEMY
Yes,0.320 E/O WILSON (C.L.)
Yes,0.320 N/O SSR 180
Yes,0.320 SW/O SSR 63
Yes,0.321 S/O CLAYTON (FOWLER C.L.)
Yes,0.322 E/O CHESTNUT
Yes,0.322 W/O ACADEMY
Yes,0.323  E/O DE WOLF
Yes,0.330 N/O SSR 180
Yes,0.330 S/O HARLAN
Yes,0.334 E/O FOWLER
Yes,0.335 N/O SHIELDS
Yes,0.340 N/O BEHYMER
Yes,0.340 S/O FLORAL (SELMA C.L.)
Yes,0.340 W/O ARMSTRONG
Yes,0.340 W/O FOWLER (C.L.)
Yes,0.341 W/O DEARING (C.L.)
Yes,0.346 S/O BUTLER(C.L.)
Yes,0.350 N/O SUMNER (OR. COVE C.L.)
Yes,0.350 S/O AMERICAN
Yes,0.350 S/O KRUGER
Yes,0.350 W/O ELM
Yes,0.351 S/O NORTH (FRESNO U.L.)
Yes,0.360 S/O MAGNOLIA
Yes,0.360 S/O PARLIER
Yes,0.360 W/O AMADOR
Yes,0.360 W/O BUTTE
Yes,0.364 N/O MOUNTAIN VIEW
Yes,0.364 W/O THOMPSON
Yes,0.365 N/O MC KINLEY (C.L.)
Yes,0.367 E/O MONSON
Yes,0.370 E/O FRANKWOOD
Yes,0.370 N/O SPRINGFIELD (C.L.)
Yes,0.370 N/O SSR 180
Yes,0.370 W/O ELM
Yes,0.371 S/O PARLIER (CYPRES)
Yes,0.375 N/O KAMM
Yes,0.375 W/O SSR 43
Yes,0.376 E/O CLOVIS (FOWLER C.L.)
Yes,0.376 E/O WALNUT (C.L.)
Yes,0.377 E/O HAYES (C.L.)
Yes,0.378 W/O MC CALL (SELMA C.L.)
Yes,0.379 E/O DOCKERY (CNTRY CLUB)
Yes,0.380 E/O TEMPERANCE (CUL-DE-SAC)
Yes,0.380 N/O MAPLE (C.L.)
Yes,0.380 S/O ADAMS
Yes,0.380 S/O ANNADALE (FRESNO C.L.)
Yes,0.380 S/O CERINI
Yes,0.380 S/O DINUBA (SELMA U.L.)
Yes,0.380 S/O MOUNTAIN VIEW
Yes,0.386 E/O COUNTY LINE (TULARE)
Yes,0.386 W/O CHATEAU FRESNO
Yes,0.390 E/O BUTTONWILLOW
Yes,0.390 N/O SHIELDS
Yes,0.396 E/O NEWMARK
Yes,0.397 W/O TEMPERANCE
Yes,0.400 E/O ACADEMY
Yes,0.400 E/O CO LINE (TULARE)
Yes,0.400 E/O TEMPERANCE
Yes,0.400 E/O ZEDIKER
Yes,0.400 N/O ALTHEA
Yes,0.400 N/O MALAGA (C.L.)
Yes,0.400 S/O CONEJO
Yes,0.400 S/O NORTH
Yes,0.400 SW/O SAND CREEK RD
Yes,0.400 W/O VINELAND
Yes,0.410 E/O PEACH
Yes,0.410 NE/O PRINCETON
Yes,0.410 S/O COLEMAN
Yes,0.413 E/O CHESTNUT (C.L.)
Yes,0.417 S/O SSR 180
Yes,0.420 S/O MUSCAT
Yes,0.429 W/O FRUIT
Yes,0.430 E/O CRAWFORD
Yes,0.430 E/O FRANKWOOD
Yes,0.430 E/O ORANGE (C.L.)
Yes,0.440 E/O VALENTINE (C.L.)
Yes,0.450 E/O CALIFORNIA
Yes,0.450 E/O CHERRY
Yes,0.450 E/O TEMPERANCE
Yes,0.454 W/O LAKE ALIGN
Yes,0.460 W/O FRUIT
Yes,0.460 W/O HUDSON
Yes,0.470 E/O LAC JAC
Yes,0.470 E/O RIVERBEND
Yes,0.470 S/O CHURCH
Yes,0.476 E/O DEL REY (C.L.)
Yes,0.480 N/O MANNING (PARLIER C.L.)
Yes,0.480 SW/O HENDERSON RD
Yes,0.487 W/O ENGLEHART
Yes,0.489 N/O ASHLAN
Yes,0.490 E/O CEDAR
Yes,0.490 N/O CHURCH
Yes,0.490 S/O NEBRASKA
Yes,0.493 S/O ADAMS
Yes,0.494 W/O BETHEL (END MAINT RD)
Yes,0.498 W/O CALAVERAS
Yes,0.499 S/O MANNING
Yes,0.499 W/O OIL CITY RD
Yes,0.500 E/O CHESTNUT
Yes,0.500 E/O DE WOLF (SELMA C.L.)
Yes,0.500 E/O FAIRFAX ALIGN
Yes,0.500 E/O MADSEN
Yes,0.500 E/O MC CALL
Yes,0.500 E/O RIVERBEND
Yes,0.500 N/O ADAMS
Yes,0.500 N/O ASHLAN
Yes,0.500 N/O ASHLAN ALIGN
Yes,0.500 N/O SHIELDS (FRESNO C.L.)
Yes,0.500 S/O ADAMS
Yes,0.500 S/O CENTRAL
Yes,0.500 S/O CLARKSON
